datetime,temperature,humidity,wind_speed,rain
2024-09-30 17:09:23,32.12,69,0.45,0.0
2024-09-30 17:31:06,31.96,67,2.1,0.0
2024-09-30 18:00:07,32.72,66,2.1,0.0
2024-09-30 19:00:09,33.05,64,1.79,0.0
2024-09-30 20:00:09,33.15,58,1.79,0.0
2024-09-30 21:00:08,32.9,58,2.68,0.0
2024-09-30 22:00:08,32.78,59,0.89,0.0
2024-09-30 23:00:07,31.75,67,2.27,0.0
2024-10-01 00:00:08,28.96,78,2.17,0.0
2024-10-01 01:00:09,28.31,81,0.45,0.0
2024-10-01 02:00:10,27.61,86,0.45,0.0
2024-10-01 03:00:07,27.06,87,0.45,0.0
2024-10-01 04:00:08,27.28,86,2.12,0.0
2024-10-01 05:00:07,26.7,88,0.45,0.0
2024-10-01 06:00:07,26.02,90,1.49,0.0
2024-10-01 07:00:07,26.18,91,1.04,0.0
2024-10-01 08:00:07,26.18,93,1.45,0.0
2024-10-01 09:00:07,25.44,94,2.11,0.0
2024-10-01 10:00:07,25.94,94,0.45,0.0
2024-10-01 11:00:07,25.94,94,0.45,0.0
2024-10-01 12:00:07,25.94,94,0.89,0.0
2024-10-01 13:00:07,26.98,93,0.45,0.0
2024-10-01 14:00:07,28.9,82,1.51,0.0
2024-10-01 15:00:07,30.01,71,1.0,0.0
2024-10-01 16:00:07,31.03,71,0.45,0.0
2024-10-01 17:00:07,32.41,67,0.45,0.0
2024-10-01 18:00:07,32.83,68,0.45,0.0
2024-10-01 19:00:07,32.42,66,0.46,0.0
2024-10-01 20:00:07,32.61,65,0.45,0.0
2024-10-01 21:00:06,29.68,79,1.79,0.0
2024-10-01 22:00:07,28.35,82,1.34,0.0
2024-10-01 23:00:07,25.62,89,2.24,0.0
2024-10-02 00:00:07,24.15,93,0.89,15.38
2024-10-02 01:00:07,23.33,94,0.89,8.42
2024-10-02 02:00:07,23.37,95,0.89,0.0
2024-10-02 03:00:07,23.37,95,2.91,0.0
2024-10-02 04:00:07,23.22,95,2.42,0.0
2024-10-02 05:00:07,23.38,96,0.45,0.0
2024-10-02 06:00:07,23.38,96,1.71,0.0
2024-10-02 07:00:07,23.38,96,1.73,0.0
2024-10-02 08:00:07,23.38,96,2.07,0.0
2024-10-02 09:00:09,23.22,96,2.0,0.0
2024-10-02 10:00:07,23.07,97,1.68,0.0
2024-10-02 11:00:07,22.87,97,1.95,0.0
2024-10-02 12:00:06,23.22,97,1.73,0.0
2024-10-02 13:00:07,24.76,97,2.03,0.0
2024-10-02 14:00:07,26.9,88,1.34,0.0
2024-10-02 15:00:08,27.17,83,1.65,0.0
2024-10-02 16:00:06,30.14,76,0.45,0.0
2024-10-02 17:00:07,28.94,78,1.59,0.0
2024-10-02 18:00:07,31.83,69,2.24,0.0
2024-10-02 19:00:07,31.79,68,0.89,0.0
2024-10-02 20:00:09,30.81,75,2.29,0.0
2024-10-02 21:00:07,30.74,73,2.24,0.0
2024-10-02 22:00:10,28.88,77,2.66,0.0
2024-10-02 23:00:10,27.64,85,0.89,0.0
2024-10-03 00:00:07,27.77,81,1.34,0.0
2024-10-03 01:00:08,26.95,85,1.34,0.0
2024-10-03 02:00:07,27.25,85,0.89,0.0
2024-10-03 03:00:08,26.66,88,1.34,0.0
2024-10-03 04:00:07,25.85,92,0.45,0.0
2024-10-03 05:00:07,25.85,92,1.79,0.0
2024-10-03 06:00:07,25.77,91,0.89,0.0
2024-10-03 07:00:07,24.92,93,0.89,0.0
2024-10-03 08:00:07,24.42,94,0.89,17.76
2024-10-03 09:00:07,24.39,95,1.34,0.0
2024-10-03 10:00:08,24.25,95,0.45,0.0
2024-10-03 11:00:07,24.25,96,0.45,0.0
2024-10-03 12:00:07,24.39,96,0.45,0.0
2024-10-03 13:00:07,25.94,95,0.89,0.0
2024-10-03 14:00:08,27.41,85,4.16,0.0
2024-10-03 15:00:07,28.72,82,4.24,0.0
2024-10-03 16:00:08,29.53,76,4.45,0.0
2024-10-03 17:00:07,28.88,78,4.38,0.0
2024-10-03 18:00:08,27.38,87,2.68,0.0
2024-10-03 19:00:09,28.26,66,4.49,1.0
